2023-05-06 13:15 | DONE   | sv_core    | matrix_config_121: Writing report...
2023-05-06 13:15 | DONE   | sv_core    | Deleting run directory...
2023-05-06 13:15 | DONE   | sv_core    | Deleted run directory.
2023-05-06 13:15 | START  | sv_core    | matrix_config_122
2023-05-06 13:15 | DONE   | sv_core    | Deleting run directory...
2023-05-06 13:15 | DONE   | sv_core    | Deleted run directory.
2023-05-06 13:15 | START  | sv_core    | matrix_config_123
2023-05-06 13:25 | SUCCESS| sv_core    | 
2023-05-06 13:25 | DONE   | sv_core    | matrix_config_122: Writing report...
2023-05-06 13:25 | DONE   | sv_core    | Deleting run directory...
2023-05-06 13:25 | DONE   | sv_core    | Deleted run directory.
2023-05-06 13:25 | START  | sv_core    | matrix_config_124
2023-05-06 13:25 | SUCCESS| sv_core    | 
2023-05-06 13:25 | DONE   | sv_core    | matrix_config_123: Writing report...
2023-05-06 13:25 | DONE   | sv_core    | Deleting run directory...
2023-05-06 13:25 | DONE   | sv_core    | Deleted run directory.
2023-05-06 13:25 | START  | sv_core    | matrix_config_125
2023-05-06 13:34 | SUCCESS| sv_core    | 
2023-05-06 13:34 | DONE   | sv_core    | matrix_config_124: Writing report...
2023-05-06 13:34 | DONE   | sv_core    | Deleting run directory...
2023-05-06 13:34 | DONE   | sv_core    | Deleted run directory.
2023-05-06 13:34 | START  | sv_core    | matrix_config_126
2023-05-06 13:35 | SUCCESS| sv_core    | 
2023-05-06 13:35 | DONE   | sv_core    | matrix_config_125: Writing report...
2023-05-06 13:35 | DONE   | sv_core    | Deleting run directory...
2023-05-06 13:35 | DONE   | sv_core    | Deleted run directory.
2023-05-06 13:35 | START  | sv_core    | matrix_config_127
2023-05-06 13:44 | SUCCESS| sv_core    | 
2023-05-06 13:44 | DONE   | sv_core    | matrix_config_126: Writing report...
2023-05-06 13:44 | DONE   | sv_core    | Deleting run directory...
2023-05-06 13:44 | DONE   | sv_core    | Deleted run directory.
2023-05-06 13:44 | START  | sv_core    | matrix_config_128
2023-05-06 13:44 | SUCCESS| sv_core    | 
2023-05-06 13:44 | DONE   | sv_core    | matrix_config_127: Writing report...
2023-05-06 13:45 | DONE   | sv_core    | Deleting run directory...
2023-05-06 13:45 | DONE   | sv_core    | Deleted run directory.
2023-05-06 13:45 | START  | sv_core    | matrix_config_129
2023-05-06 13:54 | SUCCESS| sv_core    | 
2023-05-06 13:54 | DONE   | sv_core    | matrix_config_128: Writing report...
